Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Record_count
ASIOTU,sarvipöllö,hornuggla,Long-eared Owl,Asio otus,686
ANTPET,luotokirvinen,skärpiplärka,Eurasian Rock Pipit,Anthus petrosus,686
BOMGAR,tilhi,sidensvans,Bohemian Waxwing,Bombycilla garrulus,2335
TURILI,punakylkirastas,rödvingetrast,Redwing,Turdus iliacus,4257
PTUR,pieni rastas,liten trast,Unidentified Small Thrush,parvus Turdus,574
IV,iso vesilintu,stor sjöfågel,Unidentified Large waterfowl,magnus Anatidae,230
PHACAR,merimetso,storskarv,Great Cormorant,Phalacrocorax carbo,6525
BUTLAG,piekana,fjällvråk,Rough-legged Buzzard,Buteo lagopus,1033
PER/BUT,mehiläishaukka / hiirihaukkalaji,ob. vråk,Unidentified buzzard,Pernis / Buteo,733
TRIOCH,metsäviklo,skogssnäppa,Green Sandpiper,Tringa ochropus,1503
SCORUS,lehtokurppa,morkulla,Eurasian Woodcock,Scolopax rusticola,1950
LARSP,lokkilaji,Larus (släktet),Unidentified Gull,Larus sp,390
PICCAN,harmaapäätikka,gråspett,Grey-headed Woodpecker,Picus canus,217
TADTAD,ristisorsa,gravand,Common Shelduck,Tadorna tadorna,2238
ANAPEN,haapana,bläsand,Eurasian Wigeon,Anas penelope,5061
ANAACU,jouhisorsa,stjärtand,Northern Pintail,Anas acuta,2444
ANASP,sorsalaji,Anas (släktet),Anas duck species,Anas sp,365
AYTFUL,tukkasotka,vigg,Tufted Duck,Aythya fuligula,6894
PANHAL,sääksi,fiskgjuse,Osprey,Pandion haliaetus,1254
NUMARQ,kuovi,storspov,Eurasian Curlew,Numenius arquata,2315
TRITOT,punajalkaviklo,rödbena,Common Redshank,Tringa totanus,3332
HYDCAS,räyskä,skräntärna,Caspian Tern,Hydroprogne caspia,2040
LARHYP,isolokki,vittrut,Glaucous Gull,Larus hyperboreus,42
OENOEN,kivitasku,stenskvätta,Northern Wheatear,Oenanthe oenanthe,3338
LANEXC,isolepinkäinen,varfågel,Great Grey Shrike,Lanius excubitor,791
HALALB,merikotka,havsörn,White-tailed Eagle,Haliaeetus albicilla,5416
CIRCYA,sinisuohaukka,blå kärrhök,Northern Harrier,Circus cyaneus,1467
GALGAL,taivaanvuohi,enkelbeckasin,Common Snipe,Gallinago gallinago,2352
ANSFAB,metsähanhi,sädgås,Bean Goose,Anser fabalis,536
MERALB,uivelo,salskrake,Smew,Mergellus albellus,983
ACCGEN,kanahaukka,duvhök,Northern Goshawk,Accipiter gentilis,2057
FALCOL,ampuhaukka,stenfalk,Merlin,Falco columbarius,1537
PP,pieni päiväpetolintu,liten dagrovfågel,Unidentified Small Raptor,parvus Accipitriformes,176
TROTRO,peukaloinen,gärdsmyg,Winter Wren,Troglodytes troglodytes,3016
PODCRI,silkkiuikku,skäggdopping,Great Crested Grebe,Podiceps cristatus,3121
BOM/STU,tilhi / kottarainen,sidensvans / stare,Waxwing / Starling,Bombycilla / Sturnus,115
AYTFUL/AYTMAR,tukkasotka / lapasotka,vigg / bergand,Tufted Duck/Greater Scaup,Aythya fuligula / Aythya marila,422
IK,iso kahlaaja,stor vadare,Unidentified large wader,IK (iso kahlaaja),915
AEGFUN,helmipöllö,pärluggla,Boreal Owl,Aegolius funereus,603
FRISP,peippolaji,Fringilla (släktet),Chaffinch / Brambling,Fringilla sp,128
PV,pieni vesilintu,liten sjöfågel,Unidentified Small waterfowl,parvus Anatidae,344
GAVARC,kuikka,storlom,Black-throated Loon,Gavia arctica,3406
GAVSP,kuikkalaji,Gavia (släktet),Diver species,Gavia sp,4128
K,kahlaaja,ob. vadare,Unidentified wader,K (kahlaaja),313
STECUS,merikihu,kustlabb,Parasitic Jaeger,Stercorarius parasiticus,2632
CALLAP,lapinsirkku,lappsparv,Lapland Longspur,Calcarius lapponicus,614
MELNIG,mustalintu,sjöorre,Common Scoter,Melanitta nigra,2378
CYA/PAR/PER/LOP/POE,tiaislaji,ob. mes / tita,Unidentified Tit species,Cyanistes / Parus / Periparus / Lophophanes / Poecile,317
CALALP,suosirri,kärrsnäppa,Dunlin,Calidris alpina,2729
STEHIR/STEAEA,kalatiira / lapintiira,fisktärna / silvertärna,Common / Arctic Tern,Sterna hirundo / Sterna paradisaea,3097
STRALU,lehtopöllö,kattuggla,Tawny Owl,Strix aluco,205
PHYCOL,tiltaltti,gransångare,Common Chiffchaff,Phylloscopus collybita,1915
ANACLY,lapasorsa,skedand,Northern Shoveler,Anas clypeata,3015
CIRAER,ruskosuohaukka,brun kärrhök,Western Marsh Harrier,Circus aeruginosus,927
TRINEB,valkoviklo,gluttsnäppa,Common Greenshank,Tringa nebularia,3285
ANTTRI,metsäkirvinen,trädpiplärka,Tree Pipit,Anthus trivialis,4473
BRALEU,valkoposkihanhi,vitkindad gås,Barnacle Goose,Branta leucopsis,2083
ANASTR,harmaasorsa,snatterand,Gadwall,Anas strepera,686
GAVSTE,kaakkuri,smålom,Red-throated Loon,Gavia stellata,2956
CHADUB,pikkutylli,mindre strandpipare,Little Ringed Plover,Charadrius dubius,1018
STEHIR,kalatiira,fisktärna,Common Tern,Sterna hirundo,3534
JYNTOR,käenpiika,göktyta,Eurasian Wryneck,Jynx torquilla,1083
FICHYP,kirjosieppo,svartvit flugsnappare,European Pied Flycatcher,Ficedula hypoleuca,2282
SOMSPE,kyhmyhaahka,praktejder,King Eider,Somateria spectabilis,98
MELFUS,pilkkasiipi,svärta,Velvet Scoter,Melanitta fusca,4525
AYTMAR,lapasotka,bergand,Greater Scaup,Aythya marila,1308
PODGRI,härkälintu,gråhakedopping,Red-necked Grebe,Podiceps grisegena,770
CEPGRY,riskilä,tobisgrissla,Black Guillemot,Cepphus grylle,1245
ANTSP,kirvislaji,Anthus (släktet),Unidentified Pipit,Anthus sp,141
PHYSP,uunilintulaji,Phylloscopus (släktet),Unidentified Phylloscopus warbler,Phylloscopus sp,563
ANAQUE,heinätavi,årta,Garganey,Anas querquedula,258
POLSTE,allihaahka,alförrädare,Steller's Eider,Polysticta stelleri,154
AREINT,karikukko,roskarl,Ruddy Turnstone,Arenaria interpres,916
ALCTOR,ruokki,tordmule,Razorbill,Alca torda,779
HYDMIN,pikkulokki,dvärgmås,Little Gull,Hydrocoloeus minutus,778
ASISP,sarvipöllölaji,Asio (släktet),Long-/Short-eared Owl,Asio sp,212
PODAUR,mustakurkku-uikku,svarthakedopping,Horned Grebe,Podiceps auritus,212
STERCSP,kihulaji,Stercorarius (släktet),Unidentified Skua,Stercorarius sp,415
STEAEA,lapintiira,silvertärna,Arctic Tern,Sterna paradisaea,2845
RECAVO,avosetti,skärfläcka,Pied Avocet,Recurvirostra avosetta,37
TRIERY,mustaviklo,svartsnäppa,Spotted Redshank,Tringa erythropus,1512
ACTHYP,rantasipi,drillsnäppa,Common Sandpiper,Actitis hypoleucos,3574
SAXTRA,pensastasku,buskskvätta,Whinchat,Saxicola rubetra,1448
PERPER,peltopyy,rapphöna,Grey Partridge,Perdix perdix,6
NUMPHA,pikkukuovi,småspov,Whimbrel,Numenius phaeopus,1029
TRIGLA,liro,grönbena,Wood Sandpiper,Tringa glareola,2289
ACRSCH,ruokokerttunen,sävsångare,Sedge Warbler,Acrocephalus schoenobaenus,885
SERSER,keltahemppo,gulhämpling,European Serin,Serinus serinus,70
EMBHOR,peltosirkku,ortolansparv,Ortolan Bunting,Emberiza hortulana,520
PERAPI,mehiläishaukka,bivråk,European Honey Buzzard,Pernis apivorus,1009
RIP/HIR/DEL,pääsky,ob. svala,Unidentified Swallow / Martin,Riparia / Hirundo / Delichon,1128
ARDCIN,harmaahaikara,gråhäger,Grey Heron,Ardea cinerea,4028
CALPUG,suokukko,brushane,Ruff,Calidris pugnax,2142
COLLIV,kesykyyhky,tamduva,Common Pigeon,Columba livia,1376
RIPRIP,törmäpääsky,backsvala,Sand Martin,Riparia riparia,1571
HIRRUS,haarapääsky,ladusvala,Barn Swallow,Hirundo rustica,5270
DELURB,räystäspääsky,hussvala,Common House Martin,Delichon urbicum,3898
PHYLUS,pajulintu,lövsångare,Willow Warbler,Phylloscopus trochilus,4880
