Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Record_count
CIRMAC/CIRPYG,arosuohaukka / niittysuohaukka,stäpphök / ängshök,Hen / Pallied / Montagu's Harrier,Circus macrourus / Circus pygargus,43
CORSP,varislaji,Corvus (släktet),Unidentified Crow,Corvus sp,5
KPL,keskikokoinen pikkulintu,medelstor småfågel,Unidentified Middle-sized Songbird,KPL (keskikokoinen pikkulintu),3
PLAR,pikkulokki / pikkukajava / naurulokki / kalalokki,ob. mås,Unidentified Small Gull,parvus Laridae,6
IL,iso lintu,stor fågel,Large bird,magnus Aves,5
STEALB,pikkutiira,småtärna,Little Tern,Sternula albifrons,14
GELNIL/STESAN,hietatiira / riuttatiira,sandtärna / kentsk tärna,Sandwich / Gull-billed Tern,Gelochelidon nilotica / Sterna sandvicensis,2
CHASP,tyllilaji,Charadrius (släktet),Unidentified Charadrius plover,Charadrius sp,3
LANMIN,mustaotsalepinkäinen,svartpannad törnskata,Lesser Grey Shrike,Lanius minor,2
ACCSP,varpushaukkalaji,Accipiter (släktet),Unidentified Accipiter hawk,Accipiter sp,6
STRURA,viirupöllö,slaguggla,Ural Owl,Strix uralensis,40
CICNIG,mustahaikara,svart stork,Black Stork,Ciconia nigra,11
LOXSP,käpylintulaji,Loxia (släktet),Unidentified Crossbill,Loxia sp,2
PHAAXSP,merimetsolaji,Phalacrocorax (släktet),Unidentified Cormorant species,Phalacrocorax sp,2
LUSMEG,etelänsatakieli,sydnäktergal,Common Nightingale,Luscinia megarhynchos,7
EMBELE,kultatöyhtösirkku,praktsparv,Yellow-throated Bunting,Emberiza elegans,1
OENSP,kivitaskulaji,Oenanthe (släktet),Unidentified Wheatear,Oenanthe sp,1
CIRPYG,niittysuohaukka,ängshök,Montagu's Harrier,Circus pygargus,12
PERATEXPOEMON,kuusitiainen x hömötiainen,svartmes x talltita,Willow x Coal Tit,Periparus ater x Poecile montanus,1
ANTRIC/ANTGOD,isokirvinen / mongoliankirvinen,större piplärka / mongolpiplärka,Richard's / Blyth's Pipit,Anthus richardi / Anthus godlewskii,2
ANS/BRA/PHA,hanhi / merimetso,gås / skarv,Unidentified Goose or cormorant species,Anserini / Phalacrocorax,3
CIRGAL,käärmekotka,ormörn,Short-toed Eagle,Circaetus gallicus,1
PANBIA,viiksitimali,skäggmes,Bearded Reedling,Panurus biarmicus,43
LARGLA/LARHYP,grönlanninlokki / isolokki,vitvingad trut / vittrut,Iceland / Glaugous Gull,Larus glaucoides / Larus hyperboreus,1
AIXGAL,mandariinisorsa,mandarinand,Mandarin Duck,Aix galericulata,3
POEMONxPOECIN,hömötiainen X lapintiainen,talltita X lappmes,Willow x Siberian Tit,Poecile montanus X Poecile cinctus,3
CARSP,tiklilaji,Carduelis (släktet),Unidentified Carduelis species,Carduelis sp,1
CECDAU,ruostepääsky,rostgumpsvala,Red-rumped Swallow,Cecropis daurica,3
BRARUF,punakaulahanhi,rödhalsad gås,Red-breasted Goose,Branta ruficollis,3
TADFER,ruostesorsa,rostand,Ruddy Shelduck,Tadorna ferruginea,2
LANSEN,punapäälepinkäinen,rödhuvad törnskata,Woodchat Shrike,Lanius senator,1
RALAQU,luhtakana,vattenrall,Water Rail,Rallus aquaticus,15
OENPLE,nunnatasku,nunnestenskvätta,Pied Wheatear,Oenanthe pleschanka,1
CIRMAC,arosuohaukka,stäpphök,Pallid Harrier,Circus macrourus,36
EMBAUR,kultasirkku,gyllensparv,Yellow-breasted Bunting,Emberiza aureola,1
PLEFAL,pronssi-iibis,bronsibis,Glossy Ibis,Plegadis falcinellus,2
MOTCIT,sitruunavästäräkki,citronärla,Citrine Wagtail,Motacilla citreola,9
XENCIN,rantakurvi,tereksnäppa,Terek Sandpiper,Xenus cinereus,5
PASROS,punakottarainen,rosenstare,Rosy Starling,Pastor roseus,3
PHAFUL,isovesipääsky,brednäbbad simsnäppa,Red Phalarope,Phalaropus fulicarius,2
ALLALL,pikkuruokki,alkekung,Little Auk,Alle alle,5
SAXOLA,mustapäätasku,svarthakad buskskvätta,European Stonechat,Saxicola rubicola,2
URIAAL,etelänkiisla,sillgrissla,Common Murre,Uria aalge,15
PHYSCH,siperianuunilintu,videsångare,Radde's Warbler,Phylloscopus schwarzi,2
CALBRA,lyhytvarvaskiuru,korttålärka,Greater Short-toed Lark,Calandrella brachydactyla,15
BUBSCA,tunturipöllö,fjälluggla,Snowy Owl,Bubo scandiacus,22
CALMAR,merisirri,skärsnäppa,Purple Sandpiper,Calidris maritima,15
PHYBON,vuoriuunilintu,bergsångare,Western Bonelli's Warbler,Phylloscopus bonelli,10
PHACOL,fasaani,fasan,Common Pheasant,Phasianus colchicus,11
PRUMON,taigarautiainen,sibirisk järnsparv,Siberian Accentor,Prunella montanella,7
ANSERY,kiljuhanhi,fjällgås,Lesser White-fronted Goose,Anser erythropus,1
SAXMAU,sepeltasku,vitgumpad buskskvätta,Siberian Stonechat,Saxicola maurus,6
GAVIMM,amerikanjääkuikka,svartnäbbad islom,Great Northern Loon,Gavia immer,4
AQUNIP,arokotka,stäppörn,Steppe Eagle,Aquila nipalensis,3
PHYHUM,kashmirinuunilintu,bergtajgasångare,Hume's Leaf Warbler,Phylloscopus humei,4
APUPAL,vaaleakiitäjä,blek tornseglare,Pallid Swift,Apus pallidus,1
MELPER,pilkkaniska,vitnackad svärta,Surf Scoter,Melanitta perspicillata,1
SYLNAN,kääpiökerttu,ökensångare,Asian Desert Warbler ,Sylvia nana,1
EGRALB,jalohaikara,ägretthäger,Great Egret,Egretta alba,22
BUTRUF,arohiirihaukka,örnvråk,Long-legged Buzzard,Buteo rufinus,2
IDUCAL,pikkukultarinta,stäppsångare,Booted Warbler,Iduna caligata,5
SYLCAN,rusorintakerttu,rödstrupig sångare,Subalpine Warbler,Sylvia cantillans,4
TRISTA,lampiviklo,dammsnäppa,Marsh Sandpiper,Tringa stagnatilis,3
CLAGLA,harakkakäki,skatgök,Great Spotted Cuckoo,Clamator glandarius,1
REGIGN,tulipäähippiäinen,brandkronad kungsfågel,Common Firecrest,Regulus ignicapilla,1
STESKU,isokihu,storlabb,Great Skua,Stercorarius skua,2
TURATR,mustakaularastas,svarthalsad trast,Black-throated Thrush,Turdus atrogularis,2
FICSP,kirjosieppolaji,Ficedula (släktet),Unidentified Flycatcher,Ficedula sp,1
ACRAGR,kenttäkerttunen,fältsångare,Paddyfield Warbler,Acrocephalus agricola,2
PRUATR,mustakurkkurautiainen,svartstrupig järnsparv,Black-throated Accentor,Prunella atrogularis,1
ANTHOD,taigakirvinen,sibirisk piplärka,Olive-backed Pipit,Anthus hodgsoni,1
AQUCLA/AQUPOM/AQUNIP,kiljukotka / pikkukiljukotka / arokotka,större skrikörn / mindre skrikörn / stäppörn,Unidentified Spotted Eagle / Steppe Eagle,Aquila clanga / Aquila pomarina / Aquila pomarina,1
AYTCOL,amerikantukkasotka,ringand,Ring-necked Duck,Aythya collaris,4
MELDEG,kyhmypilkkasiipi,knölsvärta,White-winged Scoter,Melanitta deglandi,6
CALSP,sirrilaji,Calidris (släktet),Unidentified Calidris sandpiper,Calidris sp,1
HIRRUSXDELURB ,haarapääsky X räystäspääsky,ladusvala X hussvala,Barn Swallow x House Martin,Hirundo rustica X Delichon urbicum,1
MILMIL,isohaarahaukka,röd glada,Red Kite,Milvus milvus,1
POEPAL,viitatiainen,entita,Marsh Tit,Poecile palustris,5
LARCAC,aroharmaalokki,kaspisk trut,Caspian Gull,Larus cachinnans,1
